,Mes,Inflacion,Desempleo,Expectativa_Inflacion,M1,expectativa inflacion mes siguiente,indice real de remuneraciones,Inflacion_anterior,Z,Inflacion_pred,Inflacion_pred_restr
89,2017-08-01,0.2,6.9075946714037,0.1,30864.620877437,0.4,0.296710378929,0.2,-0.1,0.12020253559563943,0.09846218099604159
90,2017-09-01,-0.2,6.9952969791219,0.3,30889.796856478,0.2,0.2892271463309,0.2,0.09999999999999998,0.32298428114900624,0.32425761952063537
91,2017-10-01,0.6,6.984697394799,0.2,30753.139674507,0.1,-0.294104823061,-0.2,0.4,0.41863811300972414,0.38634839577555075
92,2017-11-01,0.1,6.7039187219485,0.0,32076.341799234,0.1,0.4970682418774,0.6,-0.6,-0.07730410807529076,-0.0976082159866215
93,2017-12-01,0.1,6.5126532130199,0.1,33566.1165049,0.2,0.5815851264374,0.1,0.0,0.11285272181143946,0.08979172952838754
94,2018-01-01,0.5,6.8254374445719,0.1,33338.735900088,0.1,0.3230714336139,0.1,0.0,0.15046350928607,0.12419941324563237
95,2018-02-01,0.0,7.0100532120791,0.1,32864.74440413,0.4,-0.420704630164,0.5,-0.4,0.23383550887797427,0.2053134345372336
96,2018-03-01,0.2,7.3760875809755,0.3,33747.056763496,0.2,0.3070439119458,0.0,0.3,0.3467378833968592,0.3427643942655456
97,2018-04-01,0.3,6.9937939491544,0.2,33831.773715393,0.2,-0.033002586392,0.2,0.0,0.3085058829903397,0.28990401572038393
98,2018-05-01,0.3,7.3814464950714,0.2,35199.812931179,0.2,-0.412396956722,0.3,-0.09999999999999998,0.3604321911080176,0.3381812217714205
99,2018-06-01,0.1,7.5137144929646,0.2,34887.263048967,0.2,0.0612415421378,0.3,-0.09999999999999998,0.24506830929329648,0.2329829604969577
100,2018-07-01,0.4,7.8534584611052,0.2,33665.360026627,0.2,0.1521153122161,0.1,0.1,0.2318790252629077,0.21884928495773776
101,2018-08-01,0.2,7.7190711079047,0.2,34626.231594785,0.4,-0.120473229434,0.4,-0.2,0.2546073730674605,0.24299306232969908
102,2018-09-01,0.3,7.4702905165262,0.4,34553.894128356,0.3,0.6210939398876,0.2,0.2,0.3443248095131579,0.3631582724211212
103,2018-10-01,0.4,7.4119068299065,0.3,34565.355495048,0.2,-0.417277171734,0.3,0.0,0.4592150137018218,0.4488689197382455
104,2018-11-01,0.0,7.3111275021128,0.2,35214.970365947,0.1,0.5472378111802,0.4,-0.2,0.13347249034152964,0.13225292392975807
105,2018-12-01,-0.1,7.1464633153887,0.0,36855.583247718,0.2,0.5901310497745,0.0,0.0,0.005628625513463659,-0.030478952026046308
106,2019-01-01,0.1,7.1295721723762,0.2,36168.872895763,0.1,0.6798358910584,-0.1,0.30000000000000004,0.20616901608101035,0.1922310132672709
107,2019-02-01,0.0,7.0342779076251,0.1,35901.910866605,0.3,0.0969653349915,0.1,0.0,0.20289092635896933,0.17138459933655228
108,2019-03-01,0.5,7.23627924029,0.3,36803.331501327,0.2,0.4234551067846,0.0,0.3,0.34647288301725054,0.3417045387971058
109,2019-04-01,0.3,7.0963377412054,0.3,37391.930703707,0.2,0.3602874262189,0.5,-0.2,0.2863182156295788,0.2927433652609569
110,2019-05-01,0.6,7.2322801999576,0.3,38075.326937202,0.2,-0.679099910747,0.3,0.0,0.5482837300001264,0.52921909849642
111,2019-06-01,0.0,7.2538126303226,0.2,38158.562832092,0.3,-0.151224754996,0.6,-0.39999999999999997,0.275005270496907,0.2630861581067864
112,2019-07-01,0.2,7.5486410796646,0.2,37901.437563186,0.2,0.4392387582222,0.0,0.2,0.2273131753983647,0.21231976280861375
113,2019-08-01,0.2,7.5718079861493,0.2,38583.230168971,0.4,0.0250068900485,0.2,0.0,0.28779883586048144,0.26978703992546954
